"Guid","CurrencyIsoCode","Name","SBQQ__ProcessInputID__c","SBQQ__QuoteId__c","SBQQ__Value__c"
001e8c44-3757-4c4d-893f-b432182b4d70,USD,a0Z3h000001Obif,748d4797-2321-4299-9af1-89464cd93ddd,b94aa76e-2f52-4063-8a24-b8dcc46a1cc6,Include Professional Services
003d27b9-3cf2-4158-bc53-8572ec7f782d,USD,a0Z3h000001ObaC,75572e99-0820-41b4-9d63-dcec60068dec,a65df5b4-ddf4-40c0-a5b4-0a23061eeb1a,Yes
0059a577-082f-47f2-8342-261ac54e4cc7,USD,a0Z3h000001Obdv,75572e99-0820-41b4-9d63-dcec60068dec,35611e5c-273b-41ba-a51d-04ef6e06fcf0,Yes
0069c303-1cce-4290-b0e4-17ab24b47c8e,USD,a0Z3h000001Obd7,8e175aa4-6b40-4962-8cd1-eceb480da5ce,497ff34d-ad55-45f8-8572-e540377dc770,End to End Solution
00738830-09a1-4b86-8439-4e804b08a6f3,USD,a0Z3h000001Obws,c24f1eb5-790b-476d-92bb-aa508f70194e,79af218a-1dc1-47d9-a4b7-267f1ba5348e,205.0
00902148-0ff0-415e-b4d3-6968707f3178,USD,a0Z3h000001Oc0J,418662ec-841c-4335-8325-ebb11be36bec,b35418d4-843c-4575-85a3-5bd3e27e7bc5,Enterprise
00958418-50f9-4c85-a15b-e2b6d29ab2c5,USD,a0Z3h000001ObrE,748d4797-2321-4299-9af1-89464cd93ddd,db90c118-6c57-4e38-b7a9-b6bc7394b811,Include Professional Services
00af9e8a-be23-41d7-a105-c486148e0909,USD,a0Z3h000001Obf7,8e175aa4-6b40-4962-8cd1-eceb480da5ce,6455bf70-253f-4ad5-aad6-ec29228072a2,End to End Solution
00c607b8-0351-44ed-9a75-b052379a0c03,USD,a0Z3h000001ObR5,748d4797-2321-4299-9af1-89464cd93ddd,60aa0ea9-401b-42db-b585-ebf4cb6ec71a,Include Professional Services
00e36678-70db-4466-b93c-c28cb5579abc,USD,a0Z3h000001Obyo,75572e99-0820-41b4-9d63-dcec60068dec,006182cd-5223-47bd-8650-90a7be7831e0,Yes
00e5acfc-4ebe-40b8-89e3-2bf3db863444,USD,a0Z3h000001ObL0,75572e99-0820-41b4-9d63-dcec60068dec,b34e6c13-515f-4399-830d-19f97cb059a0,Yes
00f21182-4f9b-4020-98b5-d6c10126ed48,USD,a0Z3h000001ObKm,e84a16f8-a2d6-4d73-91f9-92133d78e45d,d0defce8-464a-43ae-a169-86355477c73c,"#N/A"
0120a42e-ee0c-4337-a47c-b9cca08e17a6,USD,a0Z3h000001Obbq,c24f1eb5-790b-476d-92bb-aa508f70194e,6e3e953c-b2a8-4429-a5a1-744f01c79166,240.0
